filename,width,height,class,xmin,ymin,xmax,ymax
ID_d00ccb179_png_jpg.rf.cdb9f7b65dd7df5191ef831e0b31939b.jpg,640,640,Subdural,55,142,353,538
ID_252309b5b_png_jpg.rf.fbfad8226e8be819f9446688850fb9f7.jpg,640,640,Subdural,203,262,358,476
ID_8a8da7d04_png_jpg.rf.61d24743d260286efbcdcaac858e9538.jpg,640,640,Subdural,141,379,286,527
ID_5b26226a1_png_jpg.rf.263efd0b09f1ec46ccf19bbf4a883ac0.jpg,640,640,Subdural,299,399,391,580
ID_7927e4fd8_png_jpg.rf.64a5f071c3ddf23f44fdb1fb6d5a51b7.jpg,640,640,Subdural,207,161,324,505
ID_4956e3fe4_png_jpg.rf.86ee6e00f324f6a0bdb98037b4a70d7e.jpg,640,640,Subdural,365,185,520,434
ID_0338611a4_png_jpg.rf.90daffe91456e080e9eb1e0f6da6cb61.jpg,640,640,Subdural,474,288,536,413
ID_0f856b98b_png_jpg.rf.e68b0d9e757132bebbd8a9271c9e1474.jpg,640,640,Subdural,324,375,405,499
ID_7faf22a5b_png_jpg.rf.31fdfbe475e3393e30576e30bbd361a7.jpg,640,640,Subdural,134,228,355,438
ID_1eaddec92_png_jpg.rf.07ef8b3b9bcb73903f88b4426e663651.jpg,640,640,Subdural,165,365,275,526
ID_9c5a5af03_png_jpg.rf.ebcaadc501a1d22f99ddd581a2b64366.jpg,640,640,Subarachnoid,272,379,440,458
ID_3b0d2ca7d_png_jpg.rf.2dc35bf83bb84f319d30d15fe55d7927.jpg,640,640,Subarachnoid,201,378,279,448
ID_555a877b8_png_jpg.rf.55afbccc3fecb8b91d8fc3734ba87d6f.jpg,640,640,Subarachnoid,201,411,270,538
ID_e05e9b351_png_jpg.rf.cf6a8ed589e20d2f67530c775584000b.jpg,640,640,Subarachnoid,322,216,353,285
ID_9c47d5476_png_jpg.rf.d2df3e00833ca42b939122bd17563003.jpg,640,640,Subarachnoid,310,125,430,203
ID_2b0b547ab_png_jpg.rf.ee21d4fd044bdead19a96e0835dc8a18.jpg,640,640,Subarachnoid,404,356,491,457
ID_bb62bea9e_png_jpg.rf.a0c17951bdba256ca78b771477c6a3f9.jpg,640,640,Subarachnoid,212,413,290,474
ID_4c45b9236_png_jpg.rf.362f7428e5f868e6fa6a5499b5ec3b94.jpg,640,640,Subarachnoid,419,456,455,484
ID_c255f4df0_png_jpg.rf.47e65455e6f3d3ea5be607bb5768079e.jpg,640,640,Subarachnoid,360,353,461,439
ID_1bd692580_png_jpg.rf.7d79ec41a9004accc0af526c19c428cd.jpg,640,640,Subarachnoid,362,233,547,483
ID_462fd9bce_png_jpg.rf.dcb8e111cc95d26232f62542aea219e7.jpg,640,640,Intraparenchymal,170,426,282,559
ID_8763a46ca_png_jpg.rf.e51d6460e920a847d699cececeff9e15.jpg,640,640,Intraparenchymal,223,242,373,387
ID_750d94fa1_png_jpg.rf.cc6dc87069b7397417761e35d4795d9e.jpg,640,640,Intraparenchymal,238,473,304,558
ID_621262c25_png_jpg.rf.5384b363474cc8911e0cc167244fe77c.jpg,640,640,Intraparenchymal,331,372,400,417
ID_d47537441_png_jpg.rf.4c0870cbc7859e3d7506f9c1f2281f22.jpg,640,640,Intraparenchymal,426,329,511,401
ID_2f927bff5_png_jpg.rf.146da9fc0232d93f64d1d6978f7e5030.jpg,640,640,Intraparenchymal,393,194,443,270
ID_f22d6c931_png_jpg.rf.09df10f3f9a7f6b78db3886c2401fc65.jpg,640,640,Intraparenchymal,150,108,311,280
ID_2f0772df9_png_jpg.rf.c149b1236c8cace980bb2bcb8824ee1f.jpg,640,640,Intraparenchymal,194,291,219,341
ID_06a2ed50e_png_jpg.rf.8b0e128b7722b3ed1d4b57b3f5815720.jpg,640,640,Intraparenchymal,133,353,227,448
ID_76caec065_png_jpg.rf.e418b0bdee98606348c92ca261483ce6.jpg,640,640,Intraparenchymal,195,275,386,444
ID_2fa563e91_png_jpg.rf.92b48481eeeca3e5843a26c0879ac3cf.jpg,640,640,Intraventricular,263,253,327,342
ID_c81a30b59_png_jpg.rf.676fded1b822deb9692fc0f117274021.jpg,640,640,Intraventricular,216,414,249,446
ID_a7f98283c_png_jpg.rf.2268c39160d0260b380e267497d101db.jpg,640,640,Intraventricular,226,381,260,415
ID_847e4cd87_png_jpg.rf.0bc16b3b70ffa96e02c995b1e91c58bf.jpg,640,640,Intraventricular,311,389,380,459
ID_806bbc388_png_jpg.rf.b61b01e397a2f0170bb890d751aa29ca.jpg,640,640,Intraventricular,339,385,414,494
ID_c66333738_png_jpg.rf.aa754a086b48d1ce7c728779b56aa19d.jpg,640,640,Intraventricular,273,437,319,479
ID_d2ba1afe3_png_jpg.rf.44b009a9e801084808dcb37fde5f1729.jpg,640,640,Intraventricular,269,410,310,446
ID_104b09f8d_png_jpg.rf.0a7a08506ed3dcd1baca1c61aa0b7b11.jpg,640,640,Intraventricular,290,174,371,293
ID_ca7839f9d_png_jpg.rf.daf66507f2c97bee3b5377803ac0e39d.jpg,640,640,Intraventricular,210,418,242,457
ID_2e03b53e8_png_jpg.rf.bd52e6be60f7cf443e61e1755e29b634.jpg,640,640,Intraventricular,388,369,442,432
